BPM,Energy,Danceability,Loudness,Liveness,Valence,Length,Acousticness,Speechiness,Popularity,is_recent,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6
99,70,69,-6,16,48,214,22,3,77,1,0,0,1,0,0,0,0
77,89,69,-6,3,91,182,9,3,56,1,0,0,0,0,0,1,0
137,53,60,-9,9,34,282,43,3,82,0,0,1,0,0,0,0,0
128,37,61,-9,11,35,226,84,3,64,1,0,0,0,0,1,0,0
127,60,62,-9,7,96,179,72,3,73,0,0,0,0,0,1,0,0
81,25,25,-17,21,32,264,91,3,37,0,0,0,0,1,0,0,0
186,54,30,-8,12,54,203,16,4,50,1,0,0,0,0,0,1,0
119,60,83,-14,8,92,246,18,6,62,0,0,0,0,0,0,1,0
71,63,51,-9,15,50,214,10,19,49,1,0,0,0,0,0,1,0
125,39,48,-11,12,52,269,37,3,68,0,0,0,0,0,0,1,0
132,84,61,-7,8,54,236,0,4,40,1,0,0,0,1,0,0,0
94,60,81,-10,6,75,239,12,6,71,0,0,0,1,0,0,0,0
96,21,57,-16,13,49,225,65,3,73,0,0,1,0,0,0,0,0
89,25,53,-15,12,24,276,71,3,60,0,0,0,0,0,1,0,0
123,75,59,-11,34,66,339,0,3,44,1,0,1,0,0,0,0,0
86,75,52,-7,20,70,273,36,5,44,1,0,1,0,0,0,0,0
141,66,38,-6,8,33,353,12,3,76,0,0,0,1,0,0,0,0
148,48,81,-10,5,62,180,1,6,78,0,0,0,1,0,0,0,0
142,85,53,-12,30,91,239,31,4,52,0,0,0,0,1,0,0,0
134,26,54,-12,15,64,148,85,3,58,0,0,0,0,0,1,0,0
99,87,55,-6,17,54,234,1,3,77,1,1,0,0,0,0,0,0
120,49,60,-7,12,9,270,50,3,72,1,1,0,0,0,0,0,0
138,78,48,-8,8,18,319,1,5,53,1,0,0,0,1,0,0,0
184,34,38,-13,10,69,179,81,4,65,0,0,0,0,0,1,0,0
150,63,34,-7,7,35,241,16,4,95,0,0,0,0,0,0,1,0
131,53,87,-13,20,96,250,1,8,50,0,0,0,1,0,0,0,0
100,25,55,-18,69,29,149,94,6,46,0,0,0,0,0,0,1,0
108,54,86,-9,7,87,166,58,8,73,0,0,1,0,0,0,0,0
136,14,45,-13,10,16,176,96,3,61,0,0,0,0,0,0,1,0
134,71,33,-7,13,19,532,31,3,60,1,0,0,0,0,0,1,0
98,69,67,-7,10,83,213,6,3,41,1,0,0,0,1,0,0,0
128,36,38,-11,29,24,251,71,4,38,0,0,0,0,0,0,1,0
100,85,58,-5,9,58,197,11,3,65,1,1,0,0,0,0,0,0
132,88,49,-5,37,52,282,0,3,65,0,0,1,0,0,0,0,0
81,65,52,-7,26,72,259,34,3,73,0,0,0,1,0,0,0,0
115,56,81,-5,5,97,148,16,4,73,0,0,0,0,0,1,0,0
111,27,90,-12,5,74,226,1,9,74,0,0,0,1,0,0,0,0
131,71,78,-9,6,61,414,46,19,39,1,0,0,0,1,0,0,0
84,79,10,-4,36,18,277,0,4,55,0,0,0,1,0,0,0,0
123,13,50,-18,36,21,401,35,8,51,0,0,1,0,0,0,0,0
127,79,48,-6,45,79,323,0,3,75,0,0,1,0,0,0,0,0
135,31,41,-10,7,7,653,31,4,56,0,0,1,0,0,0,0,0
155,47,34,-11,10,16,237,38,3,59,0,0,1,0,0,0,0,0
174,94,25,-5,16,46,234,3,7,60,0,0,1,0,0,0,0,0
76,77,46,-5,14,35,234,1,3,51,1,0,0,0,0,0,1,0
127,63,43,-12,11,74,220,3,4,65,0,0,1,0,0,0,0,0
103,81,71,-4,7,73,257,1,3,74,1,0,0,0,0,0,0,1
88,40,37,-13,8,27,189,4,3,27,1,0,1,0,0,0,0,0
113,81,64,-8,8,82,257,16,3,65,0,0,1,0,0,0,0,0
166,87,36,-8,10,61,194,0,7,73,1,1,0,0,0,0,0,0
76,56,59,-15,8,84,388,11,4,38,0,0,0,0,0,0,1,0
113,42,74,-10,10,58,259,36,3,43,1,0,0,0,1,0,0,0
168,94,32,-7,10,54,178,3,10,71,0,1,0,0,0,0,0,0
84,37,45,-16,8,26,274,48,3,49,0,0,0,0,0,0,1,0
179,54,45,-7,6,61,266,68,3,62,0,0,0,1,0,0,0,0
95,41,54,-13,10,82,185,16,3,62,0,0,0,0,0,1,0,0
130,42,53,-10,14,22,197,14,3,62,0,1,0,0,0,0,0,0
112,67,91,-3,24,66,290,0,7,82,1,0,0,1,0,0,0,0
143,90,72,-4,7,96,189,9,10,72,0,1,0,0,0,0,0,0
