Year,BPM,Energy,Danceability,Loudness,Liveness,Valence,Length,Acousticness,Speechiness,Popularity,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
1963,175,10,38,-21,6,44,165,91,5,69,1,0,0,0,0,0,0,0
1985,143,83,54,-6,17,71,178,11,3,54,0,0,0,0,0,0,1,0
1986,105,83,54,-9,15,56,515,0,4,67,0,0,0,0,0,1,0,0
1997,166,50,40,-12,10,68,257,83,4,68,0,1,0,0,0,0,0,0
1982,94,60,81,-10,6,75,239,12,6,71,0,1,0,0,0,0,0,0
2003,118,82,67,-9,5,78,629,3,8,59,0,1,0,0,0,0,0,0
1994,132,86,61,-9,26,64,243,3,4,56,0,0,0,0,0,0,0,1
2003,131,80,75,-5,42,37,281,24,5,55,0,0,0,1,0,0,0,0
1984,177,55,52,-14,18,91,289,50,4,76,1,0,0,0,0,0,0,0
2017,171,75,56,-8,15,35,240,27,31,69,0,1,0,0,0,0,0,0
1990,170,39,19,-14,12,32,371,26,4,65,1,0,0,0,0,0,0,0
1979,118,53,67,-11,30,81,303,9,3,64,0,0,0,0,1,0,0,0
2003,175,79,35,-5,38,80,231,16,4,33,0,1,0,0,0,0,0,0
1983,143,76,60,-12,10,84,409,6,5,48,1,0,0,0,0,0,0,0
1965,117,29,58,-13,11,67,162,65,3,67,0,1,0,0,0,0,0,0
1977,89,75,61,-9,14,61,277,32,9,48,0,1,0,0,0,0,0,0
1975,90,90,47,-7,29,21,325,11,3,53,1,0,0,0,0,0,0,0
2002,159,99,24,-4,83,37,187,1,10,58,0,0,0,0,0,1,0,0
1998,84,48,50,-8,20,47,190,48,9,50,0,0,0,0,0,1,0,0
2016,100,53,56,-11,11,67,278,2,3,41,1,0,0,0,0,0,0,0
2004,138,84,47,-4,16,48,220,0,3,43,0,0,1,0,0,0,0,0
2004,148,92,36,-4,10,23,223,0,8,77,0,0,1,0,0,0,0,0
1983,122,65,60,-11,13,71,201,3,6,58,0,0,0,0,0,0,1,0
1998,143,90,72,-4,7,96,189,9,10,72,0,0,0,0,0,1,0,0
1975,146,94,27,-4,12,61,270,1,10,73,1,0,0,0,0,0,0,0
1977,64,46,27,-7,12,17,179,38,3,66,1,0,0,0,0,0,0,0
1972,131,58,67,-10,6,82,211,22,3,69,1,0,0,0,0,0,0,0
1995,136,46,53,-6,18,29,266,70,3,64,0,0,0,0,1,0,0,0
1983,124,46,93,-9,6,76,256,14,31,73,0,1,0,0,0,0,0,0
2018,197,64,18,-7,12,52,241,11,4,30,0,0,0,0,0,0,0,1
